Source,Target,Type,Id,Type_edge,Weigth
2813,1825,Undirected,134,inventeur_brevet,1
2814,1949,Undirected,135,inventeur_brevet,1
2815,845,Undirected,136,inventeur_brevet,1
2816,1441,Undirected,137,inventeur_brevet,1
2817,845,Undirected,138,inventeur_brevet,1
2818,1810,Undirected,139,inventeur_brevet,1
2819,2603,Undirected,140,inventeur_brevet,1
2820,2058,Undirected,141,inventeur_brevet,1
2821,1982,Undirected,142,inventeur_brevet,1
2822,1376,Undirected,143,inventeur_brevet,1
2823,1305,Undirected,144,inventeur_brevet,1
2824,1421,Undirected,145,inventeur_brevet,1
2825,2231,Undirected,146,inventeur_brevet,1
2826,1190,Undirected,147,inventeur_brevet,1
2827,2667,Undirected,148,inventeur_brevet,1
2828,1962,Undirected,149,inventeur_brevet,1
2829,1051,Undirected,150,inventeur_brevet,1
2830,1098,Undirected,151,inventeur_brevet,1
2831,1980,Undirected,152,inventeur_brevet,1
2832,2021,Undirected,153,inventeur_brevet,1
2833,594,Undirected,154,inventeur_brevet,1
2834,392,Undirected,155,inventeur_brevet,1
2835,180,Undirected,156,inventeur_brevet,1
2836,2018,Undirected,157,inventeur_brevet,1
2837,539,Undirected,158,inventeur_brevet,1
2838,2086,Undirected,159,inventeur_brevet,1
2839,1131,Undirected,160,inventeur_brevet,1
2840,854,Undirected,161,inventeur_brevet,1
2841,462,Undirected,162,inventeur_brevet,1
2842,2423,Undirected,163,inventeur_brevet,1
2843,2052,Undirected,164,inventeur_brevet,1
2844,351,Undirected,165,inventeur_brevet,1
2845,504,Undirected,166,inventeur_brevet,1
2846,504,Undirected,167,inventeur_brevet,1
2847,2089,Undirected,168,inventeur_brevet,1
2848,699,Undirected,169,inventeur_brevet,1
2849,2004,Undirected,170,inventeur_brevet,1
2850,305,Undirected,171,inventeur_brevet,1
2851,832,Undirected,172,inventeur_brevet,1
2852,1941,Undirected,173,inventeur_brevet,1
2853,186,Undirected,174,inventeur_brevet,1
2854,352,Undirected,175,inventeur_brevet,1
2855,1799,Undirected,176,inventeur_brevet,1
2856,1216,Undirected,177,inventeur_brevet,1
2857,1225,Undirected,178,inventeur_brevet,1
2858,1750,Undirected,179,inventeur_brevet,1
2859,1049,Undirected,180,inventeur_brevet,1
2859,1199,Undirected,181,inventeur_brevet,1
2859,1343,Undirected,182,inventeur_brevet,1
2860,2513,Undirected,183,inventeur_brevet,1
2861,423,Undirected,184,inventeur_brevet,1
2862,1793,Undirected,185,inventeur_brevet,1
2863,1665,Undirected,186,inventeur_brevet,1
2864,301,Undirected,187,inventeur_brevet,1
2864,302,Undirected,188,inventeur_brevet,1
2864,303,Undirected,189,inventeur_brevet,1
2865,1716,Undirected,190,inventeur_brevet,1
2866,1595,Undirected,191,inventeur_brevet,1
2867,1350,Undirected,192,inventeur_brevet,1
2868,2216,Undirected,193,inventeur_brevet,1
2869,2007,Undirected,194,inventeur_brevet,1
2870,2136,Undirected,195,inventeur_brevet,1
2871,287,Undirected,196,inventeur_brevet,1
2872,1249,Undirected,197,inventeur_brevet,1
2873,1587,Undirected,198,inventeur_brevet,1
2874,1781,Undirected,199,inventeur_brevet,1
2875,996,Undirected,200,inventeur_brevet,1
2876,1376,Undirected,201,inventeur_brevet,1
2877,1353,Undirected,202,inventeur_brevet,1
2878,1440,Undirected,203,inventeur_brevet,1
2879,708,Undirected,204,inventeur_brevet,1
2880,888,Undirected,205,inventeur_brevet,1
2881,135,Undirected,206,inventeur_brevet,1
2881,166,Undirected,207,inventeur_brevet,1
2882,472,Undirected,208,inventeur_brevet,1
2883,248,Undirected,209,inventeur_brevet,1
2884,2425,Undirected,210,inventeur_brevet,1
2885,2425,Undirected,211,inventeur_brevet,1
2886,1513,Undirected,212,inventeur_brevet,1
2887,673,Undirected,213,inventeur_brevet,1
2888,172,Undirected,214,inventeur_brevet,1
2889,867,Undirected,215,inventeur_brevet,1
2890,1637,Undirected,216,inventeur_brevet,1
2891,2043,Undirected,217,inventeur_brevet,1
2892,2180,Undirected,218,inventeur_brevet,1
2893,2133,Undirected,219,inventeur_brevet,1
2894,84,Undirected,220,inventeur_brevet,1
2895,1089,Undirected,221,inventeur_brevet,1
2896,1037,Undirected,222,inventeur_brevet,1
2897,1672,Undirected,223,inventeur_brevet,1
2898,108,Undirected,224,inventeur_brevet,1
2899,21,Undirected,225,inventeur_brevet,1
2900,2377,Undirected,226,inventeur_brevet,1
2901,814,Undirected,227,inventeur_brevet,1
2902,1039,Undirected,228,inventeur_brevet,1
2903,1409,Undirected,229,inventeur_brevet,1
2904,1716,Undirected,230,inventeur_brevet,1
2905,1096,Undirected,231,inventeur_brevet,1
2906,1323,Undirected,232,inventeur_brevet,1
